Accessed on Sun Sep 11 2016 04:43:17 GMT-0700 (PDT)
 
×

1395 Owners Of As Big as Mountains
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"AS BIG AS MOUNTAINS"
COMPLETION
 Zippydanger	F	3×	96/96	  GET
 Codemunkys!	F	4×	96/96	  GET
 Bibz Didine	A-	2×	96/96	  GET
 Hazim Sami	A	3×	96/96	  GET
 juliboo3232	B-	4×	96/96	  GET
 Lisa	D+	3×	96/96	  GET
 Elijah Snow-Rackley	F+	2×	45/96	  GET
 Eric Reynolds	F+	8×	96/96	  GET
 Rebecca Pavlik	F	5×	95/96	  GET
 Brittany Manthei	A+	2×	96/96	  GET
 Gencie Salter	A-	2×	89/96	  GET
 Lance Cookson	A-	2×	96/96	  GET
 Karla Araujo	A+	2×	96/96	  GET
 Asces05	A+	3×	96/96	  GET
 Jamie Hunter	B	2×	90/96	  GET
 J Paukune	A+	9×	96/96	  GET
 Cynthia	A+	4×	96/96	  GET
 Ewerton Menezes	D+	2×	7/96	  GET
 Lliske	B-	2×	25/96	  GET
 Ralph Lyon	A+	2×	96/96	  GET
 Sean Langford	A	4×	93/96	  GET
 Michael Lim	F	3×	96/96	  GET
 Alej V	C	5×	84/96	  GET
 Amandine Crepin	F	3×	94/96	  GET
 Vera Santos	F	2×	47/96	  GET
 Michikana	C+	2×	36/96	  GET
 BMai Pham	D	2×	90/96	  GET
 Shelly Brown-Elkins	A+	4×	90/96	  GET
 Lisa Railey	A+	5×	96/96	  GET
 Elizabeth Kidder	A+	3×	93/96	  GET
 jess116	A+	4×	86/96	  GET
 Lindsey Marie	D+	4×	88/96	  GET
 Kmiller4175	B+	3×	96/96	  GET
 Lari Elovainio	A+	3×	96/96	  GET
 Ray Zink	C	3×	96/96	  GET
 Nayeli Alvarado	C	2×	89/96	  GET
 Monica Nunes	A	3×	96/96	  GET
 Gigi Magic	A+	2×	96/96	  GET
 crowbit	A+	3×	96/96	  GET
 Karen Mack	A+	2×	96/96	  GET
 Ryan Davis	A+	4×	96/96	  GET
 LaRena Whitham	B	4×	85/96	  GET
 G. Hussain Chinoy	A-	3×	92/96	  GET
 Josh Hinds	A+	3×	94/96	  GET
 galliard von Sillein	A-	4×	96/96	  GET
 Jackie Zhang	F	6×	94/96	  GET
 Justin Fedick	B	3×	96/96	  GET
 Juan Camilo	C+	4×	96/96	  GET
 Andy Kimbrell	B+	2×	96/96	  GET
