Accessed on Sun Sep 11 2016 01:46:06 GMT-0700 (PDT)
 
×

629 Owners Of Porphyrion
All collectors with one or more of these.
COLLECTOR	TRADER
GRADE	# OWNED	
"TITAN WAR CYBER"
COMPLETION
 James Jang	A+	1×	14/25	  GET
 Jape Niggits	B	1×	21/25	  GET
 Joejoed	B	1×	8/25	  GET
 Bo Campbell	A+	1×	18/25	  GET
 Sephtis	A+	1×	12/25	  GET
 Shieldofsheldor	A+	1×	19/25	  GET
 Tabbi Murphy	A	1×	2/25	  GET
 Nolfinkol	A+	1×	16/25	  GET
 Dontkill.itnow	B	1×	6/25	  GET
 Anhosustali	A-	1×	18/25	  GET
 Mike Cundiff	A+	1×	4/25	  GET
 Melissa Lawver	A+	1×	2/25	  GET
 Frenchdavid51	F+	1×	5/25	  GET
 Xxangelpastelxx	A+	1×	8/25	  GET
 Pieguy2924	C	1×	14/25	  GET
 Ella.sophi	A+	1×	15/25	  GET
 Jelleke	B+	1×	12/25	  GET
 Noah Boothby	B	1×	6/25	  GET
 Rakaputra Paputungan	A	1×	13/25	  GET
 Alice Liddell	A+	1×	5/25	  GET
 Hungry Druid	A+	1×	16/25	  GET
 Darkslayer Castillo	B+	1×	17/25	  GET
 Shere Khan	A+	1×	19/25	  GET
 Kristoffergoodman Hammoda	A+	1×	12/25	  GET
 Whiteyes	B	1×	10/25	  GET
 Joel Vergara	B-	1×	12/25	  GET
 Jerome	A+	1×	15/25	  GET
 Darkcerb38	C-	1×	15/25	  GET
 Ironox	A+	1×	19/25	  GET
 Richknot	A+	1×	19/25	  GET
 Kumi Memes	A+	1×	9/25	  GET
 Immissjc	B-	1×	18/25	  GET
 Ezra	A+	1×	2/25	  GET
 Zanrin	A+	1×	17/25	  GET
 Nicknolte	C	1×	6/25	  GET
 Anorak	A+	1×	16/25	  GET
 Thomas Baker	D+	1×	5/25	  GET
 noah tunggal	A+	1×	6/25	  GET
 Neonmobster_582	A	1×	12/25	  GET
 Nico Oliva	A+	1×	18/25	  GET
 Zander Gollogly	B	1×	10/25	  GET
 Reiss Tolga	C	1×	6/25	  GET
 David Tan-Chi	B	1×	12/25	  GET
 Om Tivi	A+	1×	2/25	  GET
